V,A,InnerReactance,expo
0.014,5,2.98E+03,-6
0.03,10,2.98E+03,-6
0.045,15.2,2.98E+03,-6
0.059,20.1,2.98E+03,-6
0.074,24.9,2.98E+03,-6
0.089,30.2,2.98E+03,-6
0.119,40.1,2.98E+03,-6
0.149,50.1,2.98E+03,-6
0.178,60,2.98E+03,-6
0.206,69.6,2.98E+03,-6
0.238,79.9,2.98E+03,-6
0.268,89.9,2.98E+03,-6
0.64,100,3.00E+04,-6
0.65,140,3.00E+04,-6
0.66,200,3.00E+04,-6
0.67,250,3.00E+04,-6
0.72,1.005,3.00E+04,-3
0.74,1.5,3.00E+04,-3
0.76,1.995,3.00E+04,-3
0.78,2.5,3.00E+04,-3
0.81,3.8,3.00E+04,-3
0.84,4.6,3.00E+04,-3
0.88,6,3.00E+04,-3
0.91,7,3.00E+04,-3
0.94,7.9,3.00E+04,-3
0.97,8.9,3.00E+04,-3
1,9.9,3.00E+04,-3
0.36,37.4,9.97E+03,-6
0.44,44.3,9.97E+03,-6
0.5,51.2,9.97E+03,-6
0.56,62,9.97E+03,-6
